code,where,scale
3154,Colombia,regional
3154,Ecuador,regional
3154,Guyana,regional
3154,Paraguay,regional
3154,Peru,regional
3154,Suriname,regional
3154,Uruguay,regional
3154,Venezuela,regional
3154,Guyana,regional
3154,Belize,regional
5580,Honduras,regional
5580,Nicaragua,regional
5580,Panama,regional
5580,Mexico,regional
5580,United States of America,regional
624,Andorra,regional
624,Austria,regional
624,Belarus,regional
624,Belgium,regional
624,Bosnia and Herzegovina,regional
624,Bulgaria,regional
624,Croatia,regional
624,Czech Republic,regional
624,Denmark,regional
624,Estonia,regional
624,Finland,regional
624,France,regional
624,Germany,regional
624,Greece,regional
624,Hungary,regional
624,Iceland,regional
624,Ireland,regional
624,Italy,regional
624,Latvia,regional
624,Liechtenstein,regional
624,Lithuania,regional
624,Luxembourg,regional
624,Macedonia,regional
624,Malta,regional
624,Moldova,regional
624,Monaco,regional
624,Montenegro,regional
624,Netherlands,regional
624,Norway,regional
624,Poland,regional
624,Portugal,regional
624,Republic of Serbia,regional
624,Romania,regional
624,Russia,regional
624,San Marino,regional
624,Slovakia,regional
624,Slovenia,regional
624,Spain,regional
624,Sweden,regional
624,Switzerland,regional
624,Ukraine,regional
624,United Kingdom,regional
624,Kazakhstan,regional
761,Andorra,regional
761,Austria,regional
761,Belarus,regional
761,Belgium,regional
